Q_Analog,Q_Boolean,I_Analog,I_Boolean,bit0,bit1,bit2,bit3
-1.068735821,00000000000000000000000000000000,-0.98817038,11000000000000000000000000000000,0,0,0,0
-0.999317615,10000000000000000000000000000000,-0.85137162,11111110000000000000000000000000,0,0,0,0
0.941318841,11111111111111111111111111110000,0.26241998,11111111111111111100000000000000,1,0,1,1
0.857372376,11111111111111111111111110000000,0.34108148,11111111111111111111100000000000,1,0,1,1
-0.428090734,11111111000000000000000000000000,0.98551214,11111111111111111111111111111100,0,1,1,0
-0.341297772,11111111111000000000000000000000,0.37109662,11111111111111111111111000000000,0,1,1,1
0.291891191,11111111111111111110000000000000,0.90947557,11111111111111111111111111100000,1,1,1,0
-0.240848944,11111111111111100000000000000000,0.87078801,11111111111111111111111110000000,0,1,1,0
0.345617051,11111111111111111111100000000000,0.96590465,11111111111111111111111111111000,1,1,1,0
1.055968058,11111111111111111111111111111111,-0.27359703,11111111111111000000000000000000,1,0,0,1
0.913955217,11111111111111111111111111100000,-0.92360608,11111000000000000000000000000000,1,0,0,0
-0.872398405,11111110000000000000000000000000,-0.9628835,11100000000000000000000000000000,0,0,0,0
0.98248789,11111111111111111111111111111100,-0.17688273,11111111111111110000000000000000,1,0,0,1
-0.21361533,11111111111111100000000000000000,-1.01513341,10000000000000000000000000000000,0,1,0,0
-0.341906373,11111111111000000000000000000000,1.04153903,11111111111111111111111111111111,0,1,1,0
0.890708861,11111111111111111111111111000000,-0.89165814,11111100000000000000000000000000,1,0,0,0
-0.962437388,11100000000000000000000000000000,-0.43524505,11111111000000000000000000000000,0,0,0,1
0.36134711,11111111111111111111110000000000,-0.41669831,11111111000000000000000000000000,1,1,0,1
-0.921920541,11111000000000000000000000000000,-0.25964472,11111111111111000000000000000000,0,0,0,1
0.895817726,11111111111111111111111111000000,-0.95005213,11100000000000000000000000000000,1,0,0,0
-0.17332258,11111111111111110000000000000000,0.29469329,11111111111111111110000000000000,0,1,1,1
0.227903866,11111111111111111000000000000000,-1.00771666,10000000000000000000000000000000,1,1,0,0
0.327431575,11111111111111111111100000000000,1.00956447,11111111111111111111111111111110,1,1,1,0
0.953136305,11111111111111111111111111111000,-0.21917847,11111111111111100000000000000000,1,0,0,1
0.264265412,11111111111111111100000000000000,-0.31802767,11111111111100000000000000000000,1,1,0,1
-0.991137343,11000000000000000000000000000000,-0.4170615,11111111000000000000000000000000,0,0,0,1
0.931795185,11111111111111111111111111110000,1.00960693,11111111111111111111111111111110,1,0,1,0
0.775205896,11111111111111111111111100000000,-0.85176137,11111110000000000000000000000000,1,0,0,0
-0.392239979,11111111100000000000000000000000,0.30940702,11111111111111111111000000000000,0,1,1,1
-0.337911262,11111111111000000000000000000000,0.91489486,11111111111111111111111111100000,0,1,1,0
0.27013078,11111111111111111100000000000000,0.17987189,11111111111111110000000000000000,1,1,1,1
0.926146819,11111111111111111111111111100000,-0.96255333,11100000000000000000000000000000,1,0,0,0
0.978907183,11111111111111111111111111111100,-0.3483335,11111111110000000000000000000000,1,0,0,1
0.30064038,11111111111111111110000000000000,0.20061578,11111111111111111000000000000000,1,1,1,1
0.977669928,11111111111111111111111111111100,0.29717253,11111111111111111110000000000000,1,0,1,1
0.215140209,11111111111111110000000000000000,0.39044017,11111111111111111111111000000000,1,1,1,1
-0.302420259,11111111111100000000000000000000,-0.90331992,11111000000000000000000000000000,0,1,0,0
0.274301633,11111111111111111100000000000000,-0.98371806,11000000000000000000000000000000,1,1,0,0
0.916502463,11111111111111111111111111100000,0.99851585,11111111111111111111111111111110,1,0,1,0
-0.214595031,11111111111111100000000000000000,-0.32982149,11111111111000000000000000000000,0,1,0,1
0.934236639,11111111111111111111111111110000,0.94375546,11111111111111111111111111110000,1,0,1,0
-0.39521569,11111111100000000000000000000000,0.11868538,11111111111111110000000000000000,0,1,1,1
0.879187736,11111111111111111111111111000000,0.96906089,11111111111111111111111111111000,1,0,1,0
0.983788404,11111111111111111111111111111100,-0.92175213,11111000000000000000000000000000,1,0,0,0
0.289566773,11111111111111111110000000000000,-0.93193969,11110000000000000000000000000000,1,1,0,0
0.299935359,11111111111111111110000000000000,0.9036992,11111111111111111111111111000000,1,1,1,0
-0.18941045,11111111111111110000000000000000,0.33842776,11111111111111111111100000000000,0,1,1,1
-1.159041621,00000000000000000000000000000000,0.25095014,11111111111111111100000000000000,0,0,1,1
1.055366533,11111111111111111111111111111111,-0.37766248,11111111100000000000000000000000,1,0,0,1
1.02979517,11111111111111111111111111111110,0.93476218,11111111111111111111111111110000,1,0,1,0
0.900361327,11111111111111111111111111000000,0.93508833,11111111111111111111111111110000,1,0,1,0
0.906733324,11111111111111111111111111000000,-0.93154758,11110000000000000000000000000000,1,0,0,0
0.439798301,11111111111111111111111100000000,0.84170293,11111111111111111111111110000000,1,1,1,0
-0.225663895,11111111111111100000000000000000,-0.85800328,11111110000000000000000000000000,0,1,0,0
-0.25741415,11111111111111000000000000000000,0.39280257,11111111111111111111111000000000,0,1,1,1
-0.826448557,11111110000000000000000000000000,0.33191388,11111111111111111111100000000000,0,0,1,1
-0.464162642,11111111000000000000000000000000,-0.28473727,11111111111110000000000000000000,0,1,0,1
0.997795732,11111111111111111111111111111110,-0.89776048,11111100000000000000000000000000,1,0,0,0
0.883717248,11111111111111111111111111000000,-0.87005795,11111110000000000000000000000000,1,0,0,0
0.965633032,11111111111111111111111111111000,0.85180337,11111111111111111111111110000000,1,0,1,0
0.286811784,11111111111111111110000000000000,0.27232427,11111111111111111100000000000000,1,1,1,1
0.993919286,11111111111111111111111111111100,0.39718368,11111111111111111111111000000000,1,0,1,1
-0.906980305,11111000000000000000000000000000,-1.00071493,10000000000000000000000000000000,0,0,0,0
0.83981137,11111111111111111111111110000000,0.85705702,11111111111111111111111110000000,1,0,1,0
0.959456055,11111111111111111111111111111000,-0.47223545,11111111000000000000000000000000,1,0,0,1
-0.347715336,11111111110000000000000000000000,0.37763912,11111111111111111111111000000000,0,1,1,1
0.877269344,11111111111111111111111110000000,-0.90840163,11111000000000000000000000000000,1,0,0,0
-0.323058326,11111111111000000000000000000000,-0.97813524,11000000000000000000000000000000,0,1,0,0
0.945589914,11111111111111111111111111110000,0.86941619,11111111111111111111111110000000,1,0,1,0
-0.402055434,11111111100000000000000000000000,-0.20945261,11111111111111110000000000000000,0,1,0,1
0.158901391,11111111111111110000000000000000,-0.24414464,11111111111111100000000000000000,1,1,0,1
0.891755385,11111111111111111111111111000000,0.33602421,11111111111111111111100000000000,1,0,1,1
-0.142071056,11111111111111110000000000000000,0.91111686,11111111111111111111111111100000,0,1,1,0
0.887897604,11111111111111111111111111000000,-1.017354,10000000000000000000000000000000,1,0,0,0
-0.227229142,11111111111111100000000000000000,-0.20433111,11111111111111110000000000000000,0,1,0,1
-0.843411958,11111110000000000000000000000000,-1.05924318,00000000000000000000000000000000,0,0,0,0
0.20167047,11111111111111110000000000000000,0.78383591,11111111111111111111111100000000,1,1,1,0
0.290432544,11111111111111111110000000000000,-0.37895069,11111111100000000000000000000000,1,1,0,1
-1.004993471,10000000000000000000000000000000,0.26522548,11111111111111111100000000000000,0,0,1,1
-0.31399698,11111111111100000000000000000000,-0.29479668,11111111111110000000000000000000,0,1,0,1
1.016903657,11111111111111111111111111111110,0.45934159,11111111111111111111111100000000,1,0,1,1
-0.304993686,11111111111100000000000000000000,0.95632184,11111111111111111111111111111000,0,1,1,0
0.349385184,11111111111111111111110000000000,-0.95796195,11100000000000000000000000000000,1,1,0,0
0.994460748,11111111111111111111111111111100,-0.34151743,11111111111000000000000000000000,1,0,0,1
-0.253289904,11111111111111000000000000000000,-0.27842175,11111111111111000000000000000000,0,1,0,1
0.336395119,11111111111111111111100000000000,0.22787173,11111111111111111000000000000000,1,1,1,1
0.284240455,11111111111111111110000000000000,0.42559587,11111111111111111111111100000000,1,1,1,1
0.394493731,11111111111111111111111000000000,0.86242436,11111111111111111111111110000000,1,1,1,0
-1.02503038,10000000000000000000000000000000,0.87305441,11111111111111111111111111000000,0,0,1,0
-0.433391349,11111111000000000000000000000000,-0.22885191,11111111111111100000000000000000,0,1,0,1
0.362666608,11111111111111111111110000000000,0.91932922,11111111111111111111111111100000,1,1,1,0
0.806024969,11111111111111111111111100000000,-0.89966934,11111100000000000000000000000000,1,0,0,0
-0.27605772,11111111111111000000000000000000,-1.08571322,00000000000000000000000000000000,0,1,0,0
0.942597168,11111111111111111111111111110000,-0.34916161,11111111110000000000000000000000,1,0,0,1
0.209045544,11111111111111110000000000000000,0.38601374,11111111111111111111111000000000,1,1,1,1
0.450559308,11111111111111111111111100000000,-0.94135475,11110000000000000000000000000000,1,1,0,0
-0.887676709,11111100000000000000000000000000,-0.98284821,11000000000000000000000000000000,0,0,0,0
-0.404638748,11111111100000000000000000000000,-0.26617646,11111111111111000000000000000000,0,1,0,1
0.363609259,11111111111111111111110000000000,0.78888448,11111111111111111111111100000000,1,1,1,0
-0.960976855,11100000000000000000000000000000,-0.84989354,11111110000000000000000000000000,0,0,0,0
0.460862395,11111111111111111111111100000000,0.17211697,11111111111111110000000000000000,1,1,1,1
-0.282473303,11111111111110000000000000000000,-0.36147661,11111111110000000000000000000000,0,1,0,1
0.948911452,11111111111111111111111111110000,0.40393488,11111111111111111111111100000000,1,0,1,1
-0.305552007,11111111111100000000000000000000,-0.88104251,11111100000000000000000000000000,0,1,0,0
0.822483218,11111111111111111111111100000000,-0.29354219,11111111111110000000000000000000,1,0,0,1
-0.870836152,11111110000000000000000000000000,-0.40023974,11111111100000000000000000000000,0,0,0,1
-0.422769392,11111111000000000000000000000000,0.36214604,11111111111111111111110000000000,0,1,1,1
0.271051458,11111111111111111100000000000000,0.27521214,11111111111111111100000000000000,1,1,1,1
0.326003585,11111111111111111111100000000000,0.90843512,11111111111111111111111111100000,1,1,1,0
-0.331359506,11111111111000000000000000000000,0.97928491,11111111111111111111111111111100,0,1,1,0
-0.229717688,11111111111111100000000000000000,-0.33389561,11111111111000000000000000000000,0,1,0,1
-0.350144407,11111111110000000000000000000000,0.87351674,11111111111111111111111111000000,0,1,1,0
-0.924135724,11111000000000000000000000000000,0.43278352,11111111111111111111111100000000,0,0,1,1
0.370587101,11111111111111111111110000000000,0.32881027,11111111111111111111100000000000,1,1,1,1
0.846170828,11111111111111111111111110000000,-0.28456816,11111111111110000000000000000000,1,0,0,1
0.272139216,11111111111111111100000000000000,-0.33311434,11111111111000000000000000000000,1,1,0,1
-0.303145152,11111111111100000000000000000000,-0.36657912,11111111110000000000000000000000,0,1,0,1
-0.322404208,11111111111100000000000000000000,0.34512134,11111111111111111111110000000000,0,1,1,1
-0.213191857,11111111111111100000000000000000,-0.99275906,11000000000000000000000000000000,0,1,0,0
1.074643787,11111111111111111111111111111111,0.40111784,11111111111111111111111000000000,1,0,1,1
-0.221519813,11111111111111100000000000000000,-0.96497143,11100000000000000000000000000000,0,1,0,0
0.917551471,11111111111111111111111111100000,0.32757084,11111111111111111111100000000000,1,0,1,1
-0.403639277,11111111100000000000000000000000,0.31151191,11111111111111111111000000000000,0,1,1,1
0.796672237,11111111111111111111111100000000,-0.32255079,11111111111100000000000000000000,1,0,0,1
1.0406796,11111111111111111111111111111111,-0.28737984,11111111111110000000000000000000,1,0,0,1
0.43483933,11111111111111111111111100000000,-0.94263963,11110000000000000000000000000000,1,1,0,0
0.386092132,11111111111111111111111000000000,0.97065247,11111111111111111111111111111000,1,1,1,0
-0.884072293,11111100000000000000000000000000,-0.36534718,11111111110000000000000000000000,0,0,0,1
0.868201155,11111111111111111111111110000000,1.02514536,11111111111111111111111111111110,1,0,1,0
-0.863185371,11111110000000000000000000000000,-0.32020514,11111111111100000000000000000000,0,0,0,1
-0.336100723,11111111111000000000000000000000,-0.97421082,11000000000000000000000000000000,0,1,0,0
