I,Q,bit0,bit1,bit2,bit3
-0.824035490604504,-1.0032760494299673,0,0,0,0
-0.3328761729903974,-0.2997499305613722,0,1,0,1
0.8363248309641743,-0.2233958264415037,0,1,1,0
0.266552761408073,0.9857481517823697,1,0,1,1
-0.3134639048090858,-0.8209265319496131,0,0,0,1
-0.9672031791394224,0.29059327625599785,1,1,0,0
-1.0117602618679469,-1.2032324618039998,0,0,0,0
-0.3019142590373381,-0.8496018954883803,0,0,0,1
-1.0002190939904958,0.3626074759495833,1,1,0,0
-0.4259424636444077,-0.971990124718504,0,0,0,1
0.9598542056790181,0.2742994242287871,1,1,1,0
0.36558790078959214,0.12709802861124203,1,1,1,1
-1.0636875023577228,0.2717026118139697,1,1,0,0
0.9222421453584723,0.36462046829814865,1,1,1,0
1.0025936808076055,-0.3487500402042152,0,1,1,0
1.0167098876473752,-1.0768115462275145,0,0,1,0
-0.2705781666924708,-0.32934413972338983,0,1,0,1
0.9798784796169193,0.30436866716351363,1,1,1,0
-0.9518043354854919,-0.9458812697415114,0,0,0,0
-0.9644082795441077,-0.3093466437439199,0,1,0,0
0.5093019297477983,0.23909615605733092,1,1,1,1
0.3039159483618807,0.30603841588350916,1,1,1,1
0.4969508265951438,-0.8215782835476123,0,0,1,1
-0.9351056863957591,0.26557379632296557,1,1,0,0
-0.9051582015579372,0.4056642792854399,1,1,0,0
0.925132824632084,0.2648149713215467,1,1,1,0
-0.1851216127260398,0.9591474331698346,1,0,0,1
-0.17658658734711033,0.848463664630128,1,0,0,1
-0.9425757489246033,-0.9422326680500686,0,0,0,0
0.22930883730895937,0.9148488112485826,1,0,1,1
-0.8851877382940438,0.4724543308145008,1,1,0,0
-0.2551551821870987,-0.2991461576908778,0,1,0,1
-0.9726177332998192,0.2335062382788371,1,1,0,0
-0.23047885580267144,0.8923188414684319,1,0,0,1
-0.9712959070507856,-0.8309844239786466,0,0,0,0
0.8181868945194758,0.9930138497468465,1,0,1,0
0.9510853302604989,-0.35493511431548364,0,1,1,0
0.24894887640683705,0.30259338009233594,1,1,1,1
-1.0192719075843553,-0.793234250693903,0,0,0,0
-0.9814819300142934,0.9427284148242185,1,0,0,0
0.28240662984131093,0.871902568946707,1,0,1,1
